DRidu,IDUGD,DRpop_2021
2401,2021A00032401,12654
2402,2021A00032402,17219
2403,2021A00032403,17547
2404,2021A00032404,10950
2405,2021A00032405,17557
2406,2021A00032406,13415
2407,2021A00032407,17592
2408,2021A00032408,20883
2409,2021A00032409,18363
2410,2021A00032410,57191
2411,2021A00032411,8873
2412,2021A00032412,35338
2413,2021A00032413,19492
2414,2021A00032414,21307
2415,2021A00032415,15409
2416,2021A00032416,13371
2417,2021A00032417,17598
2418,2021A00032418,22481
2419,2021A00032419,38000
2420,2021A00032420,6817
2421,2021A00032421,30240
2422,2021A00032422,47813
2423,2021A00032423,588777
2425,2021A00032425,149683
2426,2021A00032426,37988
2427,2021A00032427,19253
2428,2021A00032428,16927
2429,2021A00032429,53384
2430,2021A00032430,21948
2431,2021A00032431,43412
2432,2021A00032432,23534
2433,2021A00032433,34586
2434,2021A00032434,55523
2435,2021A00032435,12762
2436,2021A00032436,49620
2437,2021A00032437,158343
2438,2021A00032438,20748
2439,2021A00032439,74348
2440,2021A00032440,14623
2441,2021A00032441,22926
2442,2021A00032442,31551
2443,2021A00032443,172950
2444,2021A00032444,18906
2445,2021A00032445,54797
2446,2021A00032446,64786
2447,2021A00032447,92796
2448,2021A00032448,15654
2449,2021A00032449,107967
2450,2021A00032450,23848
2451,2021A00032451,37292
2452,2021A00032452,44080
2453,2021A00032453,51843
2454,2021A00032454,89432
2455,2021A00032455,37889
2456,2021A00032456,121277
2457,2021A00032457,131803
2458,2021A00032458,436785
2459,2021A00032459,80313
2460,2021A00032460,128087
2461,2021A00032461,71124
2462,2021A00032462,55500
2463,2021A00032463,58680
2464,2021A00032464,171127
2465,2021A00032465,438366
2466,2021A00032466,2004265
2467,2021A00032467,185568
2468,2021A00032468,30339
2469,2021A00032469,22213
2470,2021A00032470,68322
2471,2021A00032471,162600
2472,2021A00032472,102052
2473,2021A00032473,163632
2474,2021A00032474,61108
2475,2021A00032475,140394
2476,2021A00032476,34752
2477,2021A00032477,46906
2478,2021A00032478,50777
2479,2021A00032479,36462
2480,2021A00032480,24308
2481,2021A00032481,291041
2482,2021A00032482,54498
2483,2021A00032483,20547
2484,2021A00032484,14764
2485,2021A00032485,16132
2486,2021A00032486,42313
2487,2021A00032487,20526
2488,2021A00032488,24764
2489,2021A00032489,43347
2490,2021A00032490,15038
2491,2021A00032491,31095
2492,2021A00032492,24149
2493,2021A00032493,52475
2494,2021A00032494,167833
2495,2021A00032495,10278
2496,2021A00032496,30158
2497,2021A00032497,38240
2498,2021A00032498,9849
2499,2021A00032499,45740
