SRIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
"4470001.01 (SR), Drummondville (RMR) (4470001.01) (00000)",5080,810,3285,985,2280,1290,185,210,70,415,0,15,100,2285,705,895,325,225,130,69000,5085,520,10.2,2295,1445,850,2295,115,590,535,485,155,70,75,265,250000,250200,695,742
"4470001.02 (SR), Drummondville (RMR) (4470001.02) (00000)",3400,175,1305,1920,1815,155,75,85,15,1485,0,5,0,1810,985,670,100,45,15,47600,2885,545,18.9,1820,485,1335,1820,50,310,375,405,215,200,120,140,250000,305000,740,737
"4470002.00 (SR), Drummondville (RMR) (4470002.00) (00000)",4470,440,2295,1740,1895,1015,50,75,150,600,0,15,0,1900,815,700,185,135,65,58400,3655,555,15.2,1890,1130,760,1890,445,710,455,150,70,15,15,25,250000,268500,624,636
"4470003.00 (SR), Drummondville (RMR) (4470003.00) (00000)",6970,610,3535,2830,3850,360,40,5,310,2640,480,10,0,3850,2470,950,205,145,75,36400,6020,1955,32.5,3850,585,3265,3850,1580,880,340,250,160,290,180,180,300000,317000,655,721
"4470004.00 (SR), Drummondville (RMR) (4470004.00) (00000)",3385,430,2035,920,1730,735,35,0,390,550,0,25,0,1730,750,650,160,115,60,53600,3300,625,19,1725,845,875,1725,755,660,85,130,60,10,10,15,200000,218800,588,614
"4470005.00 (SR), Drummondville (RMR) (4470005.00) (00000)",7715,1440,4820,1450,3290,1710,330,110,235,895,0,5,0,3295,1035,1250,435,390,180,71500,7360,895,12.1,3300,2005,1295,3300,450,905,245,380,120,205,295,695,250000,277200,705,752
"4470006.00 (SR), Drummondville (RMR) (4470006.00) (00000)",5040,720,3125,1195,2685,920,100,5,525,1120,0,15,0,2685,1250,915,255,170,90,50400,5035,1000,19.9,2660,1130,1530,2660,755,1020,175,165,85,35,225,195,196000,226000,650,679
"4470007.00 (SR), Drummondville (RMR) (4470007.00) (00000)",4275,540,2665,1070,2440,265,15,30,730,1385,5,5,0,2440,1350,735,180,110,70,40800,4205,1315,31.3,2465,525,1940,2465,1270,770,195,120,35,15,10,55,200000,204000,588,612
"4470008.00 (SR), Drummondville (RMR) (4470008.00) (00000)",7300,995,4420,1880,3755,1375,135,190,305,1745,0,0,0,3755,1600,1390,355,280,135,57600,7285,1085,14.9,3750,1645,2110,3750,430,985,295,755,415,340,325,205,250000,263600,700,716
"4470009.01 (SR), Drummondville (RMR) (4470009.01) (00000)",6485,1690,4135,660,2485,1635,255,0,45,555,0,5,0,2480,555,825,455,430,220,87000,6480,470,7.2,2475,1705,765,2475,70,320,95,190,160,550,535,555,250000,258400,830,820
"4470009.02 (SR), Drummondville (RMR) (4470009.02) (00000)",4670,675,3085,900,2095,1125,455,40,90,390,0,0,0,2100,635,840,280,245,100,76500,4670,465,10,2110,1590,515,2110,30,360,425,715,335,170,20,60,226000,237200,685,716
"4470010.00 (SR), Drummondville (RMR) (4470010.00) (00000)",7385,1210,4820,1355,3130,2305,70,15,145,565,0,15,25,3135,890,1185,405,430,215,80000,7370,540,7.3,3135,2335,800,3135,385,790,330,640,430,270,180,110,276000,324800,660,680
"4470011.00 (SR), Drummondville (RMR) (4470011.00) (00000)",4920,1165,2990,765,1870,1525,70,0,140,100,0,5,35,1875,440,685,240,295,210,81000,4895,455,9.3,1870,1485,390,1870,415,455,250,215,135,140,125,145,240000,270000,680,764
"4470012.00 (SR), Drummondville (RMR) (4470012.00) (00000)",1800,300,1180,320,800,750,0,0,15,0,0,5,30,795,235,330,100,80,50,68000,1805,230,12.6,795,720,75,795,90,230,155,105,50,45,55,65,190000,238400,500,560
"4470013.00 (SR), Drummondville (RMR) (4470013.00) (00000)",1385,295,870,215,525,425,25,10,20,35,0,5,5,525,125,190,45,105,65,90000,1380,120,8.4,525,425,100,525,130,95,35,80,60,50,55,15,250000,300000,850,780
"4470014.00 (SR), Drummondville (RMR) (4470014.00) (00000)",6195,1300,4040,855,2520,1660,250,30,110,435,0,15,15,2520,650,915,380,375,205,77500,6190,520,8.4,2520,1900,620,2520,115,565,565,540,155,190,160,235,230000,240400,710,744
"4470015.00 (SR), Drummondville (RMR) (4470015.00) (00000)",6075,1200,3985,890,2430,2120,75,0,85,75,0,10,65,2435,575,960,325,360,210,82000,6075,500,8.2,2435,2085,345,2435,150,840,450,275,160,165,175,205,250000,286800,870,884
"4470100.00 (SR), Drummondville (RMR) (4470100.00) (00000)",820,175,510,135,310,290,10,0,5,5,0,0,0,315,70,110,35,60,30,90000,820,70,8.4,305,265,40,305,60,60,55,20,50,25,25,10,300000,324000,476,560
"4470101.00 (SR), Drummondville (RMR) (4470101.00) (00000)",4925,980,3160,780,2015,1345,90,0,85,335,0,5,145,2015,535,760,275,280,170,75500,4910,475,9.6,2020,1525,495,2020,375,555,220,255,155,190,185,75,246000,256400,695,688
"4470102.00 (SR), Drummondville (RMR) (4470102.00) (00000)",2590,540,1635,410,1040,825,110,0,10,80,0,5,10,1035,260,375,150,165,80,75500,2585,275,10.7,1040,785,250,1040,200,370,175,85,40,50,40,70,220000,257500,670,695
"4470103.00 (SR), Drummondville (RMR) (4470103.00) (00000)",1705,345,980,385,710,505,10,10,35,150,0,5,0,710,235,250,90,85,50,71000,1625,185,11.2,715,485,225,715,130,210,115,90,30,25,55,50,200000,217000,528,528
"4470104.00 (SR), Drummondville (RMR) (4470104.00) (00000)",885,145,525,220,390,370,0,0,5,5,0,0,5,390,115,170,50,40,20,66000,885,100,11.2,390,355,35,390,110,160,45,35,15,20,0,0,220000,248000,440,600
"4470105.00 (SR), Drummondville (RMR) (4470105.00) (00000)",805,185,495,125,305,300,0,0,0,5,0,0,0,300,60,110,50,50,30,93000,805,55,7,300,270,25,300,70,45,40,30,45,15,20,35,300000,328000,,680
"4470106.00 (SR), Drummondville (RMR) (4470106.00) (00000)",1350,230,825,295,535,470,5,0,15,20,0,0,25,530,140,235,60,55,40,72000,1250,165,13.3,530,435,100,530,145,180,65,45,25,35,0,30,200000,250000,516,660
"4470107.00 (SR), Drummondville (RMR) (4470107.00) (00000)",925,180,605,140,360,330,10,0,5,10,0,0,5,360,85,135,45,50,40,74000,925,110,12.2,360,295,60,360,70,125,40,40,15,20,35,20,200000,244000,690,740
"4470108.00 (SR), Drummondville (RMR) (4470108.00) (00000)",1065,235,640,195,430,385,0,0,10,20,0,5,5,430,105,170,45,65,40,73000,1070,135,12.8,430,350,75,430,155,190,25,30,10,0,20,10,200000,216000,564,620
"4500001.00 (SR), Granby (AR) (4500001.00) (00000)",9695,1850,5750,2095,4020,1350,935,325,40,1320,0,10,30,4015,1155,1555,560,480,270,82000,9325,605,6.5,4020,2645,1370,4020,285,400,275,390,345,665,605,1045,300000,318000,970,968
"4500002.00 (SR), Granby (AR) (4500002.00) (00000)",8545,1665,5000,1885,3705,1900,195,15,175,1255,150,15,0,3710,1090,1470,440,460,245,79500,8535,670,7.9,3685,2390,1300,3685,390,615,360,345,435,535,485,510,320000,354400,890,892
"4500004.00 (SR), Granby (AR) (4500004.00) (00000)",5520,875,3520,1120,2790,620,250,0,385,1500,0,30,0,2795,1245,945,285,190,130,52400,5465,975,17.8,2795,1040,1750,2795,620,980,335,305,355,80,45,65,250000,262500,660,697
"4500005.00 (SR), Granby (AR) (4500005.00) (00000)",4950,445,2675,1830,2615,60,20,0,310,2030,0,195,0,2620,1755,575,150,70,65,33600,4025,1555,38.6,2640,330,2310,2640,1145,710,210,180,85,45,40,225,250000,270000,616,706
"4500006.00 (SR), Granby (AR) (4500006.00) (00000)",2820,320,1620,880,1555,415,50,20,95,945,0,30,0,1555,820,485,100,90,60,50400,2780,565,20.3,1535,630,905,1535,555,625,195,110,30,15,0,0,300000,324000,660,678
"4500007.00 (SR), Granby (AR) (4500007.00) (00000)",2965,385,1695,880,1505,260,20,0,415,745,0,60,0,1500,805,435,130,85,55,46000,2690,550,20.4,1540,445,1100,1540,935,320,80,55,65,40,35,0,236000,247000,665,688
"4500008.00 (SR), Granby (AR) (4500008.00) (00000)",2095,315,1270,510,1015,475,30,0,240,245,0,20,0,1015,400,385,95,70,65,57600,2090,275,13.2,1055,605,455,1055,460,460,35,65,20,10,10,0,230000,241000,670,704
"4500009.00 (SR), Granby (AR) (4500009.00) (00000)",4780,725,2980,1075,2115,960,360,5,150,575,55,10,0,2110,605,905,285,195,135,72000,4775,380,8,2100,1375,725,2100,80,680,495,315,90,215,120,95,250000,246800,800,850
"4500010.00 (SR), Granby (AR) (4500010.00) (00000)",4665,680,2975,1005,2560,115,245,110,5,2085,0,5,0,2565,1315,810,225,135,75,48400,4580,985,21.6,2575,645,1930,2575,95,555,835,450,90,185,165,195,210000,213200,680,717
"4500011.00 (SR), Granby (AR) (4500011.00) (00000)",3710,275,1440,1995,2010,390,25,0,170,1225,200,5,0,2015,1130,660,110,65,40,41600,3270,785,24.1,2030,525,1510,2030,200,885,375,285,95,75,80,40,250000,254000,695,760
"4500012.00 (SR), Granby (AR) (4500012.00) (00000)",3995,565,2305,1125,1855,1215,15,0,170,440,0,15,0,1855,650,755,210,150,95,62800,3900,485,12.4,1840,1255,580,1840,830,785,150,45,0,10,15,10,240000,244000,650,696
"4500013.00 (SR), Granby (AR) (4500013.00) (00000)",3435,435,1895,1110,1580,695,350,15,65,340,105,10,0,1580,440,730,175,170,65,86000,3440,175,5,1620,1200,410,1620,125,330,440,155,245,75,180,60,300000,339000,850,968
"4500014.00 (SR), Granby (AR) (4500014.00) (00000)",2665,440,1660,570,1005,975,0,0,10,0,0,15,0,1005,125,475,140,170,85,106000,2665,105,4,980,950,30,980,35,250,415,105,55,80,20,15,324000,377000,500,760
"4500015.00 (SR), Granby (AR) (4500015.00) (00000)",4720,855,2990,865,1750,1570,5,0,5,5,0,25,135,1750,260,755,265,300,175,94000,4705,235,5,1755,1685,70,1755,75,520,710,195,105,105,35,15,300000,304000,632,680
"4500016.00 (SR), Granby (AR) (4500016.00) (00000)",4445,735,2855,850,1755,1350,10,5,20,45,0,10,320,1755,390,745,255,225,135,81000,4315,325,7.6,1675,1545,125,1675,130,560,415,210,100,110,75,65,250000,278800,705,840
"4500100.01 (SR), Granby (AR) (4500100.01) (00000)",1260,255,820,195,540,385,40,0,25,50,0,10,25,540,170,185,80,70,40,83000,1265,80,6.6,565,410,155,565,110,135,50,30,75,60,30,75,300000,340000,725,710
"4500100.02 (SR), Granby (AR) (4500100.02) (00000)",4205,600,2375,1230,1835,965,250,20,25,580,0,5,0,1840,440,940,165,210,85,107000,4100,195,4.8,1910,1520,390,1910,50,65,75,150,200,370,420,575,500000,541500,1420,1445
"4500100.03 (SR), Granby (AR) (4500100.03) (00000)",5890,980,3895,1015,2685,1395,140,55,95,920,0,5,70,2685,910,990,305,345,135,96000,5895,415,7,2590,1920,670,2590,65,440,440,235,315,365,310,415,448000,575500,755,882
"4500200.00 (SR), Granby (AR) (4500200.00) (00000)",3340,705,2235,400,1265,1095,70,5,30,10,0,5,45,1260,215,515,195,220,115,94000,3325,150,4.6,1260,1125,135,1260,90,250,430,170,60,70,50,145,276000,294000,820,780
"4500201.00 (SR), Granby (AR) (4500201.00) (00000)",2890,495,1810,575,1180,910,40,0,45,35,0,5,145,1185,310,485,155,125,110,78000,2860,300,10.5,1185,980,200,1185,300,470,190,65,80,50,20,10,290000,309000,685,730
"4500202.00 (SR), Granby (AR) (4500202.00) (00000)",4225,830,2685,710,1745,1400,70,15,85,115,0,5,45,1745,440,685,250,245,125,78000,4225,390,9.1,1740,1425,320,1740,340,460,260,240,60,120,90,170,260000,310800,632,645
"4620001.00 (SR), Montréal (RMR) (4620001.00) (00000)",2685,365,1870,450,1405,30,25,10,465,860,0,15,0,1400,655,460,145,100,40,63600,2615,375,14.5,1380,610,770,1380,540,375,130,80,60,110,55,25,344000,370000,840,846
"4620002.00 (SR), Montréal (RMR) (4620002.00) (00000)",3780,625,2540,615,1940,80,15,90,395,1165,165,30,0,1945,915,570,230,145,80,57600,3760,655,17.4,1950,750,1200,1950,625,440,150,95,110,165,225,135,324000,356000,790,818
"4620003.00 (SR), Montréal (RMR) (4620003.00) (00000)",6600,1105,4295,1195,3015,235,100,95,855,1705,15,20,0,3020,1150,940,450,300,175,62000,6535,1030,15.8,3030,1195,1835,3030,950,1450,265,180,20,30,35,100,452000,474000,800,832
"4620004.00 (SR), Montréal (RMR) (4620004.00) (00000)",3355,470,2275,610,1645,115,20,120,345,955,0,85,0,1650,750,500,185,140,75,60000,3270,460,14,1630,625,1000,1630,815,445,145,85,65,15,15,45,400000,446000,770,836
"4620005.00 (SR), Montréal (RMR) (4620005.00) (00000)",3175,475,2110,585,1635,45,30,150,430,945,0,35,0,1635,745,530,185,120,55,58800,3155,510,16.1,1655,530,1125,1655,870,440,165,60,25,35,10,45,400000,440000,820,854
"4620006.00 (SR), Montréal (RMR) (4620006.00) (00000)",4615,880,3105,625,2045,60,30,105,370,1465,5,0,0,2045,735,660,290,215,145,60000,4570,785,17.2,2045,460,1585,2045,575,1120,115,135,40,15,20,25,448000,470000,795,817
"4620007.00 (SR), Montréal (RMR) (4620007.00) (00000)",5655,790,3785,1080,2870,680,55,20,460,1515,105,35,0,2865,1260,930,335,220,115,62400,5640,785,13.9,2865,1445,1425,2865,1450,710,455,115,45,25,20,50,400000,407600,730,774
"4620008.00 (SR), Montréal (RMR) (4620008.00) (00000)",3105,490,2145,470,1530,145,190,10,400,745,30,5,0,1535,665,470,180,160,60,68500,3095,395,12.7,1530,785,745,1530,865,280,165,60,25,15,100,30,400000,435000,800,834
"4620009.00 (SR), Montréal (RMR) (4620009.00) (00000)",3560,530,2550,475,1700,195,20,30,460,975,5,10,0,1705,665,565,250,160,60,64000,3505,515,14.7,1695,645,1050,1695,830,575,95,50,25,75,20,20,400000,415000,850,876
"4620010.00 (SR), Montréal (RMR) (4620010.00) (00000)",1495,225,1060,210,745,40,0,25,255,410,0,5,0,740,325,230,95,75,20,62400,1470,190,12.9,740,300,445,740,325,250,45,30,15,40,10,25,400000,404000,860,916
