DRIUD,ADIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
2440,24400052 (AD) (24400052) (00919),215,25,135,60,115,105,0,0,5,0,0,0,0,110,50,40,10,10,5,,,,,110,105,0,110,50,15,10,10,0,10,15,0,200000,192000,,
2440,24400023 (AD) (24400023) (00000),525,100,275,150,235,200,0,0,25,0,0,0,5,235,75,110,15,20,20,53600,525,105,20.4,235,195,40,235,130,30,30,0,0,10,15,15,150000,170000,685,660
2440,24400024 (AD) (24400024) (00000),525,75,300,145,220,200,5,0,0,20,0,0,0,220,55,95,35,20,15,63200,500,80,16.4,210,180,25,210,75,70,40,0,0,20,0,0,200000,204000,,520
2440,24400025 (AD) (24400025) (00000),385,65,230,90,175,150,0,0,0,20,0,5,5,175,65,65,15,15,15,57600,385,75,19,185,150,35,185,95,30,25,0,20,0,0,0,150000,208000,556,520
2440,24400050 (AD) (24400050) (00000),495,95,265,130,205,180,0,0,5,20,0,0,5,210,60,90,20,20,20,60400,475,65,13.6,205,180,25,205,110,35,15,15,0,10,10,0,180000,212000,,600
2440,24400051 (AD) (24400051) (00000),555,130,325,95,225,195,5,0,5,20,0,0,5,225,65,80,30,35,25,69500,555,70,13.2,230,190,40,230,95,30,20,20,15,40,10,0,190000,220000,,660
2440,24400048 (AD) (24400048) (00000),505,110,295,105,200,190,0,0,0,10,0,0,5,205,45,85,20,30,15,76000,505,40,8.4,205,185,20,205,70,75,35,10,0,10,10,0,200000,256000,,600
2440,24400049 (AD) (24400049) (00000),450,90,255,105,195,175,0,0,10,0,0,0,5,195,55,80,20,25,15,69000,445,65,14.8,195,165,25,195,65,60,25,20,0,10,0,10,200000,218000,,1600
2440,24400027 (AD) (24400027) (00000),595,85,345,175,280,200,5,5,5,70,0,0,5,285,90,125,35,20,15,66500,595,75,13.2,315,220,95,315,15,125,70,65,15,15,15,10,180000,210000,532,500
2440,24400028 (AD) (24400028) (00000),610,45,185,375,235,145,0,0,10,80,0,0,5,240,100,100,20,10,5,48800,440,70,16,235,155,85,235,0,180,0,15,10,0,20,10,150000,160000,580,610
2440,24400029 (AD) (24400029) (00000),465,85,205,180,265,55,0,5,30,170,0,0,0,270,165,65,10,10,10,32800,445,180,40.4,285,70,220,285,35,145,55,25,15,0,0,10,166000,165000,504,532
2440,24400030 (AD) (24400030) (00000),520,85,295,145,250,120,5,0,65,65,0,0,0,245,95,95,20,20,15,54400,510,95,18.4,210,125,85,210,95,115,0,0,0,0,0,0,130000,136000,528,550
2440,24400031 (AD) (24400031) (00000),550,75,305,165,300,95,0,0,120,90,0,0,0,300,150,90,30,20,10,42000,545,135,24.8,285,115,175,285,205,60,0,10,0,0,0,0,125000,128000,572,592
2440,24400032 (AD) (24400032) (00030),835,80,330,425,405,110,5,0,80,200,0,5,0,400,225,120,30,15,10,39600,680,170,25,395,125,275,395,180,130,10,20,10,0,20,35,150000,160000,568,612
2440,24400033 (AD) (24400033) (00000),480,70,255,150,270,100,5,5,80,80,0,5,0,270,140,80,20,15,5,41600,480,125,26,270,115,150,270,155,95,10,0,0,0,0,0,130000,132000,508,520
2440,24400034 (AD) (24400034) (00000),610,65,350,195,340,155,0,0,40,140,0,0,0,340,165,115,30,20,10,43200,610,150,25.2,335,155,175,335,110,165,25,0,0,0,20,0,125000,164000,544,580
2440,24400035 (AD) (24400035) (00000),375,35,190,145,190,120,10,0,25,35,0,0,0,190,65,95,15,15,5,55600,375,50,13.6,190,150,40,190,35,120,25,10,0,0,0,0,155000,160000,572,580
2440,24400036 (AD) (24400036) (00000),550,110,285,150,225,200,0,0,25,0,0,0,0,225,60,90,30,30,20,70000,545,50,8.4,225,190,40,225,50,125,0,30,0,10,10,0,150000,174000,720,680
2440,24400037 (AD) (24400037) (00000),565,75,325,160,270,260,0,0,0,10,0,0,0,270,85,125,25,25,10,58400,560,80,14.6,290,265,30,290,65,105,35,50,15,0,15,0,200000,210000,604,680
2440,24400039 (AD) (24400039) (00000),410,65,240,105,180,145,0,0,25,10,0,0,0,175,60,65,20,20,10,51600,380,85,22,165,115,50,165,120,30,0,0,0,10,0,0,120000,128000,528,580
2440,24400040 (AD) (24400040) (00000),530,100,290,140,260,105,0,0,65,85,0,0,0,255,115,90,20,15,15,48000,515,130,24.8,250,105,145,250,160,70,10,0,0,0,0,0,111000,128000,572,630
2440,24400026 (AD) (24400026) (00000),435,65,230,130,195,180,0,0,0,5,0,0,5,190,45,95,20,20,10,64500,435,45,11.2,195,175,25,195,30,130,10,25,0,0,0,0,174000,178000,,560
2440,24400038 (AD) (24400038) (00000),420,60,245,120,190,180,5,0,5,0,0,0,5,195,50,100,15,25,10,71500,420,50,12,195,175,20,195,100,60,10,10,10,0,0,0,184000,202000,,700
2440,24400041 (AD) (24400041) (00000),455,70,270,115,215,165,0,0,5,10,0,0,30,210,70,90,30,20,10,59200,455,65,14.4,210,175,35,210,75,105,20,0,0,0,0,0,145000,145000,472,520
2440,24400042 (AD) (24400042) (00000),490,80,310,100,200,195,0,0,0,0,0,0,0,200,50,85,20,30,20,73500,490,55,12,210,180,25,210,100,60,0,25,0,0,15,0,180000,204000,,720
2440,24400043 (AD) (24400043) (00000),395,45,230,120,195,135,0,5,15,30,0,0,0,190,70,75,25,10,10,62800,395,45,11.6,190,155,40,190,125,45,10,10,0,0,0,0,174000,196000,620,600
